tconst	ordering	nconst	category	job	characters
tt0000001	1	nm1588970	self	\N	["Herself"]
tt0000001	2	nm0005690	director	\N	\N
tt0000001	3	nm0374658	cinematographer	director of photography	\N
tt0000002	1	nm0721526	director	\N	\N
tt0000002	2	nm1335271	composer	\N	\N
tt0000003	1	nm0721526	director	\N	\N
tt0000003	2	nm5442194	producer	producer	\N
tt0000003	3	nm1335271	composer	\N	\N
tt0000003	4	nm5442200	editor	\N	\N
tt0000004	1	nm0721526	director	\N	\N
tt0000004	2	nm1335271	composer	\N	\N
tt0000005	1	nm0443482	actor	\N	["Blacksmith"]
tt0000005	2	nm0653042	actor	\N	["Assistant"]
tt0000005	3	nm0005690	director	\N	\N
tt0000005	4	nm0249379	producer	producer	\N
tt0000006	1	nm0005690	director	\N	\N
tt0000007	1	nm0179163	actor	\N	\N
tt0000007	2	nm0183947	actor	\N	\N
tt0000007	3	nm0005690	director	\N	\N
tt0000007	4	nm0374658	director	\N	\N
tt0000007	5	nm0249379	producer	producer	\N
tt0000008	1	nm0653028	actor	\N	["Sneezing Man"]
tt0000008	2	nm0005690	director	\N	\N
tt0000008	3	nm0374658	cinematographer	\N	\N
tt0000009	1	nm0063086	actress	\N	["Miss Geraldine Holbrook (Miss Jerry)"]
tt0000009	2	nm0183823	actor	\N	["Mr. Hamilton"]
tt0000009	3	nm1309758	self	\N	["Himself - the Director of the New York Central Railroad"]
tt0000009	4	nm0085156	director	\N	\N
tt0000010	1	nm0525910	director	\N	\N
tt0000011	1	nm3692297	actor	\N	["Acrobats"]
tt0000011	2	nm0804434	director	\N	\N
tt0000012	1	nm2880396	self	\N	["Herself"]
tt0000012	2	nm9735580	self	\N	["Himself"]
tt0000012	3	nm0525900	self	\N	["Herself"]
tt0000012	4	nm9735581	self	\N	["Herself"]
tt0000012	5	nm0525908	director	\N	\N
tt0000012	6	nm0525910	director	\N	\N
tt0000012	7	nm9735579	self	\N	["Herself"]
tt0000012	8	nm9653419	self	\N	["Herself"]
tt0000013	1	nm0525908	self	\N	["Himself"]
tt0000013	2	nm1715062	self	\N	["Himself"]
tt0000013	3	nm0525910	director	\N	\N
tt0000014	1	nm0166380	actor	\N	["The Gardener"]
tt0000014	2	nm0244989	actor	\N	["The Boy"]
tt0000014	3	nm0525910	director	\N	\N
tt0000015	1	nm0721526	director	\N	\N
tt0000016	1	nm0525900	self	\N	["Herself (on the pier)"]
tt0000016	2	nm9735581	self	\N	["Herself (on the pier)"]
tt0000016	3	nm0525910	director	\N	\N
tt0000017	1	nm3691272	actor	\N	["The boy"]
tt0000017	2	nm3692829	actress	\N	["The girl"]
tt0000017	3	nm1587194	director	\N	\N
tt0000017	4	nm0804434	director	\N	\N
tt0000018	1	nm3692071	actor	\N	["The Boxer"]
tt0000018	2	nm0804434	director	\N	\N
tt0000019	1	nm0932055	director	\N	\N
tt0000020	1	nm0010291	director	\N	\N
tt0000020	2	nm0666972	producer	producer	\N
tt0000022	1	nm0525910	director	\N	\N
tt0000023	1	nm0525910	director	\N	\N
tt0000024	1	nm0256651	self	\N	["Herself - Empress of Gemany"]
tt0000024	2	nm0435118	self	\N	["Himself - Emperor of Germany"]
tt0000024	3	nm0010291	director	\N	\N
tt0000024	4	nm0666972	producer	producer	\N
tt0000025	1	nm0010291	director	\N	\N
tt0000025	2	nm0666972	producer	producer	\N
tt0000026	1	nm2350007	actor	\N	["Valet"]
tt0000026	2	nm0525907	actor	\N	["Man playing cards, seated on the left"]
tt0000026	3	nm1151424	actor	\N	["Man playing cards, seated on the right"]
tt0000026	4	nm2354154	actor	\N	["Man playing cards, seated in the middle"]
tt0000026	5	nm0525910	director	\N	\N
tt0000027	1	nm0525910	director	\N	\N
tt0000028	1	nm2350838	self	\N	["Himself"]
tt0000028	2	nm0525908	self	\N	["Himself"]
tt0000028	3	nm0525910	director	\N	\N
tt0000029	1	nm0525908	self	\N	["Himself"]
tt0000029	2	nm0525900	self	\N	["Herself"]
tt0000029	3	nm2350838	self	\N	["Himself"]
tt0000029	4	nm0525910	director	\N	\N
tt0000030	1	nm0010291	director	\N	\N
tt0000030	2	nm0666972	director	\N	\N
tt0000031	1	nm0525910	director	\N	\N
tt0000032	1	nm3692479	actress	\N	["The dancer"]
tt0000032	2	nm0804434	director	\N	\N
tt0000033	1	nm0525910	director	\N	\N
tt0000034	1	nm0617588	director	\N	\N
tt0000035	1	nm0617588	director	\N	\N
tt0000036	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000036	2	nm0005690	director	\N	\N
tt0000036	3	nm0410331	writer	story "Rip Van Winkle"	\N
tt0000036	4	nm0005658	cinematographer	\N	\N
tt0000037	1	nm0617588	director	\N	\N
tt0000038	1	nm2960633	self	\N	["Himself - First baseman"]
tt0000038	2	nm0340719	self	\N	["Himself"]
tt0000038	3	nm2958402	self	\N	["Himself"]
tt0000038	4	nm0374658	director	\N	\N
tt0000039	1	nm0666972	producer	producer	\N
tt0000040	1	nm0617588	director	\N	\N
tt0000041	1	nm0525910	director	\N	\N
tt0000041	2	nm0525908	producer	producer	\N
tt0000042	1	nm0617588	director	\N	\N
tt0000043	1	nm0617588	director	\N	\N
tt0000044	1	nm0617588	director	\N	\N
tt0000045	1	nm0617588	director	\N	\N
tt0000046	1	nm0617588	director	\N	\N
tt0000047	1	nm0617588	director	\N	\N
tt0000048	1	nm0010291	director	\N	\N
tt0000049	1	nm0010291	director	\N	\N
tt0000050	1	nm3029234	self	\N	["Herself"]
tt0000050	2	nm0617588	director	\N	\N
tt0000051	1	nm0617588	director	\N	\N
tt0000052	1	nm0895515	director	\N	\N
tt0000052	2	nm1729239	cinematographer	\N	\N
tt0000053	1	nm0684607	director	\N	\N
tt0000054	1	nm0617588	director	\N	\N
tt0000055	1	nm0617588	director	\N	\N
tt0000056	1	nm0795060	director	\N	\N
tt0000057	1	nm0874739	self	\N	["Himself (Tsar of Russia)"]
tt0000057	2	nm0874746	self	\N	["Herself (Tsarina of Russia)"]
tt0000057	3	nm0617588	director	\N	\N
tt0000058	1	nm0874739	self	\N	["Himself (Tsar of Russia)"]
tt0000058	2	nm0617588	director	\N	\N
tt0000059	1	nm0617588	director	\N	\N
tt0000060	1	nm0005690	director	\N	\N
tt0000060	2	nm0005658	cinematographer	\N	\N
tt0000061	1	nm4007970	actress	\N	\N
tt0000061	2	nm0010291	director	\N	\N
tt0000061	3	nm0666972	producer	producer	\N
tt0000062	1	nm0617588	director	\N	\N
tt0000063	1	nm0617588	self	\N	["Himself"]
tt0000064	1	nm0617588	actor	\N	["Lightening Sketch Artist"]
tt0000065	1	nm0617588	actor	\N	["Lightening Sketch Artist"]
tt0000066	1	nm0617588	actor	\N	["Lightening Sketch Artist"]
tt0000067	1	nm0617588	director	\N	\N
tt0000068	1	nm0617588	director	\N	\N
tt0000069	1	nm0617588	director	\N	\N
tt0000070	1	nm0525908	actor	\N	\N
tt0000070	2	nm0525910	director	\N	\N
tt0000071	1	nm0617588	director	\N	\N
tt0000072	1	nm0617588	director	\N	\N
tt0000073	1	nm0617588	director	\N	\N
tt0000074	1	nm0617588	director	\N	\N
tt0000075	1	nm0194945	actress	\N	["Woman"]
tt0000075	2	nm0617588	actor	\N	["Magician"]
tt0000076	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000076	2	nm0005690	director	\N	\N
tt0000076	3	nm0410331	writer	story "Rip Van Winkle"	\N
tt0000076	4	nm0005658	cinematographer	\N	\N
tt0000077	1	nm0617588	director	\N	\N
tt0000078	1	nm0234288	director	\N	\N
tt0000079	1	nm0617588	director	\N	\N
tt0000080	1	nm0617588	director	\N	\N
tt0000081	1	nm0617588	director	\N	\N
tt0000082	1	nm0005690	director	\N	\N
tt0000082	2	nm0005658	cinematographer	\N	\N
tt0000083	1	nm0617588	director	\N	\N
tt0000084	1	nm0617588	director	\N	\N
tt0000085	1	nm0617588	director	\N	\N
tt0000086	1	nm0617588	director	\N	\N
tt0000087	1	nm0617588	director	\N	\N
tt0000088	1	nm0617588	director	\N	\N
tt0000089	1	nm0525908	director	\N	\N
tt0000089	2	nm0698645	director	\N	\N
tt0000089	3	nm0525910	producer	producer	\N
tt0000090	1	nm0617588	director	\N	\N
tt0000091	1	nm0194945	actress	\N	["Young woman"]
tt0000091	2	nm6170115	actor	\N	["Mephistopheles"]
tt0000091	3	nm0617588	actor	\N	["Mephistopheles"]
tt0000092	1	nm0617588	director	\N	\N
tt0000093	1	nm0525908	director	\N	\N
tt0000093	2	nm0525910	director	\N	\N
tt0000094	1	nm9513675	self	\N	["Herself"]
tt0000094	2	nm0617588	director	\N	\N
tt0000095	1	nm0617588	director	\N	\N
tt0000096	1	nm0617588	director	\N	\N
tt0000097	1	nm0617588	director	\N	\N
tt0000098	1	nm0617588	director	\N	\N
tt0000099	1	nm0617588	director	\N	\N
tt0000100	1	nm0617588	director	\N	\N
tt0000101	1	nm0617588	director	\N	\N
tt0000102	1	nm0617588	director	\N	\N
tt0000103	1	nm0617588	director	\N	\N
tt0000104	1	nm0525910	producer	producer	\N
tt0000105	1	nm0617588	director	\N	\N
tt0000106	1	nm0617588	director	\N	\N
tt0000107	1	nm0617588	director	\N	\N
tt0000108	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000108	2	nm0005690	director	\N	\N
tt0000108	3	nm0410331	writer	story "Rip Van Winkle"	\N
tt0000108	4	nm0005658	cinematographer	\N	\N
tt0000109	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000109	2	nm0005690	director	\N	\N
tt0000109	3	nm0410331	writer	story "Rip Van Winkle"	\N
tt0000109	4	nm0005658	cinematographer	\N	\N
tt0000110	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000110	2	nm0005690	director	\N	\N
tt0000110	3	nm0410331	writer	story "Rip Van Winkle"	\N
tt0000110	4	nm0005658	cinematographer	\N	\N
tt0000111	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000111	2	nm0005690	director	\N	\N
tt0000111	3	nm0410331	writer	story "Rip Van Winkle"	\N
tt0000111	4	nm0005658	cinematographer	\N	\N
tt0000112	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000112	2	nm0005690	director	\N	\N
tt0000112	3	nm0410331	writer	story "Rip Van Winkle"	\N
tt0000112	4	nm0005658	cinematographer	\N	\N
tt0000113	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000113	2	nm0005690	director	\N	\N
tt0000113	3	nm0410331	writer	story "Rip Van Winkle"	\N
tt0000113	4	nm0005658	cinematographer	\N	\N
tt0000114	1	nm0617588	director	\N	\N
tt0000115	1	nm0617588	director	\N	\N
tt0000116	1	nm0617588	director	\N	\N
tt0000117	1	nm0234288	director	\N	\N
tt0000118	1	nm0617588	director	\N	\N
tt0000119	1	nm0617588	director	\N	\N
tt0000120	1	nm0617588	director	\N	\N
tt0000121	1	nm0832461	actor	\N	["The Soldier"]
tt0000121	2	nm0780534	actress	\N	["The Girl"]
tt0000121	3	nm5718242	actress	\N	["The Woman"]
tt0000121	4	nm0609678	director	\N	\N
tt0000121	5	nm0666972	producer	producer	\N
tt0000122	1	nm0617588	director	\N	\N
tt0000123	1	nm0617588	self	\N	["Himself (stage magician)"]
tt0000124	1	nm0617588	director	\N	\N
tt0000125	1	nm0666972	producer	producer	\N
tt0000126	1	nm0617588	director	\N	\N
tt0000127	1	nm0617588	director	\N	\N
tt0000128	1	nm0617588	director	\N	\N
tt0000129	1	nm0617588	director	\N	\N
tt0000130	1	nm0617588	director	\N	\N
tt0000131	1	nm0617588	actor	\N	["L'homme qui essaie de dormir"]
tt0000132	1	nm9342429	actress	\N	["La Serveuse"]
tt0000132	2	nm0577734	actor	\N	["Un joueur de cartes"]
tt0000132	3	nm0617588	actor	\N	["Un joueur de cartes"]
tt0000132	4	nm3029234	actress	\N	["La petite fille"]
tt0000133	1	nm0617588	director	\N	\N
tt0000135	1	nm0005690	director	\N	\N
tt0000135	2	nm0005658	cinematographer	\N	\N
tt0000136	1	nm0349785	director	\N	\N
tt0000137	1	nm0349785	director	\N	\N
tt0000138	1	nm0617588	actor	\N	["Inn Guest"]
tt0000139	1	nm0349785	director	\N	\N
tt0000140	1	nm0349785	director	\N	\N
tt0000141	1	nm0349785	director	\N	\N
tt0000142	1	nm0168621	actor	\N	\N
tt0000142	2	nm0924920	director	\N	\N
tt0000142	3	nm0374658	cinematographer	\N	\N
tt0000143	1	nm0349785	director	\N	\N
tt0000144	1	nm0349785	director	\N	\N
tt0000145	1	nm0349785	director	\N	\N
tt0000146	1	nm0349785	director	\N	\N
tt0000147	1	nm0179163	self	\N	["Himself"]
tt0000147	2	nm0280615	self	\N	["Himself"]
tt0000147	3	nm4082222	self	\N	["Himself - Sullivan's Manager"]
tt0000147	4	nm4081458	self	\N	["Himself - Referee"]
tt0000147	5	nm0714557	director	\N	\N
tt0000147	6	nm0103755	producer	producer	\N
tt0000147	7	nm2256592	self	\N	["Himself - Master of Ceremonies"]
tt0000148	1	nm0349785	director	\N	\N
tt0000149	1	nm0617588	director	\N	\N
tt0000150	1	nm0349785	director	\N	\N
tt0000151	1	nm0194945	actress	\N	\N
tt0000151	2	nm0617588	director	\N	\N
tt0000152	1	nm0617588	director	\N	\N
tt0000153	1	nm0808310	director	\N	\N
tt0000154	1	nm0010291	director	\N	\N
tt0000155	1	nm0617588	director	\N	\N
tt0000156	1	nm0617588	director	\N	\N
tt0000157	1	nm0349785	director	\N	\N
tt0000158	1	nm0349785	director	\N	\N
tt0000159	1	nm0617588	director	\N	\N
tt0000160	1	nm0095816	director	\N	\N
tt0000160	2	nm0666972	producer	producer	\N
tt0000161	1	nm0349785	director	\N	\N
tt0000162	1	nm0525910	producer	producer	\N
tt0000162	2	nm0698645	cinematographer	\N	\N
tt0000163	1	nm0349785	director	\N	\N
tt0000164	1	nm0349785	director	\N	\N
tt0000165	1	nm0024876	actor	\N	\N
tt0000165	2	nm0278321	actor	\N	\N
tt0000165	3	nm0005717	actor	\N	\N
tt0000165	4	nm0556371	actor	\N	\N
tt0000165	5	nm0083196	cinematographer	\N	\N
tt0000165	6	nm0563758	actor	\N	\N
tt0000166	1	nm0005717	director	\N	\N
tt0000167	1	nm0422809	director	\N	\N
tt0000168	1	nm0005717	director	\N	\N
tt0000169	1	nm0698645	director	\N	\N
tt0000169	2	nm0677318	producer	producer	\N
tt0000170	1	nm0666972	director	\N	\N
tt0000171	1	nm0349785	director	\N	\N
tt0000172	1	nm0809419	actress	\N	\N
tt0000172	2	nm0338379	actor	\N	["Professor"]
tt0000172	3	nm0808310	director	\N	\N
tt0000173	1	nm0085865	director	\N	\N
tt0000174	1	nm0841389	actor	\N	["Sausage Vendor"]
tt0000174	2	nm1024447	actor	\N	["Sticker"]
tt0000174	3	nm0471818	director	\N	\N
